emoji,name,category,compatibility_rating,sequence_type,code_points,notes,keywords
⬆️,upwards black arrow,Symbols,usually_safer,variation_sequence,U+2B06 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; cardinal; direction; north; point; up; upwards
⬇️,downwards black arrow,Symbols,usually_safer,variation_sequence,U+2B07 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; cardinal; direction; down; downwards; point; south
↗️,north east arrow,Symbols,usually_safer,variation_sequence,U+2197 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; direction; east; intercardinal; north; northeast; point; up-right
↘️,south east arrow,Symbols,usually_safer,variation_sequence,U+2198 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; direction; down-right; east; intercardinal; point; south; southeast
↙️,south west arrow,Symbols,usually_safer,variation_sequence,U+2199 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; direction; down-left; intercardinal; point; south; southwest; west
↖️,north west arrow,Symbols,usually_safer,variation_sequence,U+2196 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; direction; intercardinal; north; northwest; point; up-left; west
↕️,up down arrow,Symbols,usually_safer,variation_sequence,U+2195 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; direction; down; point; up; up-down
↔️,left right arrow,Symbols,usually_safer,variation_sequence,U+2194 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; direction; left; left-right; point; right
↪️,rightwards arrow with hook,Symbols,usually_safer,variation_sequence,U+21AA U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; curving; direction; hook; left; point; right; rightwards; with
↩️,leftwards arrow with hook,Symbols,usually_safer,variation_sequence,U+21A9 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; curving; direction; hook; left; leftwards; point; right; with
⤴️,arrow pointing rightwards then curving upwards,Symbols,usually_safer,variation_sequence,U+2934 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; curving; direction; point; pointing; right; rightwards; then; up; upwards
⤵️,arrow pointing rightwards then curving downwards,Symbols,usually_safer,variation_sequence,U+2935 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; curving; direction; down; downwards; point; pointing; right; rightwards; then
➕,heavy plus sign,Symbols,usually_safer,single_code_point,U+2795,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",+; calculation; heavy; math; plus; sign
➖,heavy minus sign,Symbols,usually_safer,single_code_point,U+2796,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",-; calculation; heavy; math; minus; −
➗,heavy division sign,Symbols,usually_safer,single_code_point,U+2797,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",calculation; divide; division; heavy; math; ÷
✖️,heavy multiplication x,Symbols,usually_safer,variation_sequence,U+2716 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",calculation; cancel; heavy; math; multiplication; multiply; x; ×
♾️,permanent paper sign,Symbols,usually_safer,variation_sequence,U+267E U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",calculation; forever; infinity; math; paper; permanent; unbounded; universal
™️,trade mark sign,Symbols,usually_safer,variation_sequence,U+2122 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",tm; trade; trademark
©️,copyright sign,Symbols,usually_safer,variation_sequence,U+00A9 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",c; copyright; sign
®️,registered sign,Symbols,usually_safer,variation_sequence,U+00AE U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",r; registered; sign
〰️,wavy dash,Symbols,usually_safer,variation_sequence,U+3030 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",dash; punctuation; wavy
➰,curly loop,Symbols,usually_safer,single_code_point,U+27B0,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",curl; curly; loop
➿,double curly loop,Symbols,usually_safer,single_code_point,U+27BF,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",curl; curly; double; loop
✔️,heavy check mark,Symbols,usually_safer,variation_sequence,U+2714 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",check; checked; checkmark; done; heavy; tick; ✓
☑️,ballot box with check,Symbols,usually_safer,variation_sequence,U+2611 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",ballot; box; check; checked; done; off; tick; with; ✓
⚫️,medium black circle,Symbols,usually_safer,variation_sequence,U+26AB U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; circle; dark; geometric; medium
⚪️,medium white circle,Symbols,usually_safer,variation_sequence,U+26AA U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",circle; geometric; medium; white
▪️,black small square,Symbols,usually_safer,variation_sequence,U+25AA U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; dark; geometric; small; square
▫️,white small square,Symbols,usually_safer,variation_sequence,U+25AB U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",geometric; small; square; white
◾️,black medium small square,Symbols,usually_safer,variation_sequence,U+25FE U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; dark; geometric; medium; medium-small; small; square
◽️,white medium small square,Symbols,usually_safer,variation_sequence,U+25FD U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",geometric; medium; medium-small; small; square; white
◼️,black medium square,Symbols,usually_safer,variation_sequence,U+25FC U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; dark; geometric; medium; square
◻️,white medium square,Symbols,usually_safer,variation_sequence,U+25FB U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",geometric; medium; square; white
⬛️,black large square,Symbols,usually_safer,variation_sequence,U+2B1B U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; dark; geometric; large; square
⬜️,white large square,Symbols,usually_safer,variation_sequence,U+2B1C U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",geometric; large; square; white
♠️,black spade suit,Symbols,usually_safer,variation_sequence,U+2660 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; card; dark; game; spade; suit
♣️,black club suit,Symbols,usually_safer,variation_sequence,U+2663 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; card; club; clubs; dark; game; suit
♥️,black heart suit,Symbols,usually_safer,variation_sequence,U+2665 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; card; emotion; game; heart; hearts; love; red; romance; suit; valentine
♦️,black diamond suit,Symbols,usually_safer,variation_sequence,U+2666 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; card; diamond; game; red; suit
